No.,"(x,y)",1,2,3
489,"3,12",-50,-63,-28
490,"3,12",-52,-63,-28
491,"3,12",-52,-63,-29
492,"3,12",-53,-58,-29
493,"3,12",-53,-60,-30
494,"2,13",-53,-59,-33
495,"2,13",-60,-53,-28
496,"2,13",-66,-53,-28
497,"2,13",-61,-53,-29
498,"2,13",-58,-53,-28
499,"2,13",-56,-55,-30
500,"2,13",-57,-55,-29
501,"2,13",-60,-55,-29
502,"2,13",-63,-55,-29
503,"2,13",-63,-57,-29
504,"2,13",-56,-57,-29
505,"2,13",-58,-57,-29
506,"2,13",-60,-57,-28
508,"4,13",-59,-55,-38
509,"4,13",-59,-55,-40
510,"4,13",-63,-55,-40
511,"4,13",-61,-60,-41
512,"4,13",-60,-67,-40
513,"4,13",-65,-57,-40
514,"4,13",-62,-57,-39
515,"4,13",-63,-56,-39
516,"4,13",-60,-54,-40
517,"4,13",-59,-56,-38
518,"4,13",-64,-57,-37
519,"4,13",-63,-57,-38
520,"5,14",-60,-56,-42
521,"5,14",-66,-51,-43
522,"5,14",-63,-51,-41
523,"5,14",-64,-51,-42
524,"5,14",-64,-50,-41
525,"5,14",-62,-50,-41
526,"5,14",-62,-47,-42
527,"5,14",-64,-51,-41
528,"5,14",-64,-50,-41
529,"5,14",-63,-50,-42
530,"5,14",-62,-50,-44
531,"5,14",-60,-50,-42
532,"5,14",-60,-51,-42
533,"4,16",-58,-50,-86
534,"4,16",-62,-49,-46
535,"4,16",-58,-49,-47
536,"4,16",-58,-49,-47
537,"4,16",-62,-49,-42
538,"4,16",-62,-48,-46
539,"4,16",-61,-48,-46
540,"4,16",-60,-49,-45
541,"4,16",-63,-50,-46
542,"4,16",-63,-50,-45
543,"4,16",-61,-50,-43
544,"4,16",-57,-48,-44
545,"4,16",-57,-48,-43
546,"4,16",-61,-51,-42
547,"4,16",-56,-46,-44
548,"6,16",-62,-50,-45
549,"6,16",-64,-50,-46
550,"6,16",-53,-50,-43
551,"6,16",-58,-46,-49
552,"6,16",-61,-46,-48
553,"6,16",-55,-46,-46
554,"6,16",-56,-55,-47
555,"6,16",-56,-55,-47
556,"6,16",-56,-54,-51
557,"6,16",-61,-54,-51
558,"6,16",-61,-52,-51
559,"6,16",-69,-49,-54
560,"9,16",-61,-47,-52
561,"9,16",-62,-47,-54
562,"9,16",-62,-46,-53
563,"9,16",-62,-52,-56
564,"9,16",-57,-47,-52
565,"9,16",-57,-51,-55
566,"9,16",-58,-49,-55
567,"9,16",-58,-53,-65
568,"9,16",-64,-53,-60
569,"9,16",-59,-53,-53
570,"9,16",-66,-53,-48
571,"9,16",-65,-53,-49
